timestamp,distance_kiri_m,distance_kanan_m,kemiringan_deg
2025-05-13T14:44:45.265433,2162,2160,75.96
2025-05-13T14:44:45.337224,2162,2164,-75.96
2025-05-13T14:44:45.424936,2162,2164,-75.96
2025-05-13T14:44:45.457191,2162,2164,-75.96
2025-05-13T14:44:45.584609,2163,2164,-63.43
2025-05-13T14:44:45.603069,2163,2165,-75.96
2025-05-13T14:44:45.729883,2163,2165,-75.96
2025-05-13T14:44:45.740015,2163,2165,-75.96
2025-05-13T14:44:45.868976,2163,2167,-82.87
2025-05-13T14:44:45.883376,2165,2167,-75.96
2025-05-13T14:44:45.995640,2165,2167,-75.96
2025-05-13T14:44:46.046797,2165,2167,-75.96
2025-05-13T14:44:46.136860,2165,2168,-80.54
2025-05-13T14:44:46.208000,2166,2168,-75.96
2025-05-13T14:44:46.262444,2166,2168,-75.96
2025-05-13T14:44:46.363045,2166,2168,-75.96
2025-05-13T14:44:46.406498,2166,2169,-80.54
2025-05-13T14:44:46.510899,2168,2169,-63.43
2025-05-13T14:44:46.531087,2168,2169,-63.43
2025-05-13T14:44:46.674475,2168,2171,-80.54
2025-05-13T14:44:46.683811,2168,2171,-80.54
2025-05-13T14:44:46.801705,2168,2171,-80.54
2025-05-13T14:44:46.830277,2169,2171,-75.96
2025-05-13T14:44:46.940741,2169,2173,-82.87
2025-05-13T14:44:46.992831,2169,2173,-82.87
2025-05-13T14:44:47.073803,2169,2173,-82.87
2025-05-13T14:44:47.152370,2170,2173,-80.54
2025-05-13T14:44:47.216244,2170,2175,-84.29
2025-05-13T14:44:47.311528,2170,2175,-84.29
2025-05-13T14:44:47.335748,2170,2175,-84.29
2025-05-13T14:44:47.468350,2169,2175,-85.24
2025-05-13T14:44:47.481540,2169,2176,-85.91
2025-05-13T14:44:47.608760,2169,2176,-85.91
2025-05-13T14:44:47.630681,2169,2176,-85.91
2025-05-13T14:44:47.751607,2169,2176,-85.91
2025-05-13T14:44:47.776940,2163,2176,-87.8
2025-05-13T14:44:47.872660,2163,2176,-87.8
2025-05-13T14:44:47.935112,2163,2176,-87.8
2025-05-13T14:44:48.020383,2163,2176,-87.8
2025-05-13T14:44:48.099162,2162,2176,-87.95
2025-05-13T14:44:48.140210,2162,2176,-87.95
2025-05-13T14:44:48.254976,2162,2176,-87.95
2025-05-13T14:44:48.285008,2162,2177,-88.09
2025-05-13T14:44:48.409388,2162,2177,-88.09
2025-05-13T14:44:48.416155,2161,2177,-88.21
2025-05-13T14:44:48.554949,2161,2176,-88.09
2025-05-13T14:44:48.572202,2161,2176,-88.09
2025-05-13T14:44:48.679923,2161,2176,-88.09
2025-05-13T14:44:48.717726,2161,2176,-88.09
2025-05-13T14:44:48.823074,2161,2175,-87.95
2025-05-13T14:44:48.899761,2161,2175,-87.95
2025-05-13T14:44:48.949164,2161,2175,-87.95
2025-05-13T14:44:49.042720,2161,2175,-87.95
2025-05-13T14:44:49.096632,2161,2175,-87.95
2025-05-13T14:44:49.202684,2161,2175,-87.95
2025-05-13T14:44:49.215580,2161,2175,-87.95
2025-05-13T14:44:49.363109,2161,2176,-87.95
2025-05-13T14:44:49.363842,2161,2176,-88.09
2025-05-13T14:44:49.486133,2161,2176,-88.09
2025-05-13T14:44:49.520337,2161,2176,-88.09
2025-05-13T14:44:49.628582,2161,2175,-87.95
2025-05-13T14:44:49.662224,2161,2175,-87.95
2025-05-13T14:44:49.756387,2161,2175,-87.95
2025-05-13T14:44:49.843023,2161,2175,-87.95
2025-05-13T14:44:49.898903,2161,2175,-87.95
2025-05-13T14:44:49.986020,2160,2175,-88.09
2025-05-13T14:44:50.017341,2160,2175,-88.09
2025-05-13T14:44:50.145379,2160,2175,-88.09
2025-05-13T14:44:50.163973,2160,2177,-88.32
2025-05-13T14:44:50.290823,2160,2177,-88.32
2025-05-13T14:44:50.302068,2158,2177,-88.49
2025-05-13T14:44:50.434002,2158,2178,-88.57
2025-05-13T14:44:50.464374,2158,2178,-88.57
2025-05-13T14:44:50.559073,2158,2178,-88.57
2025-05-13T14:44:50.611261,2157,2178,-88.64
2025-05-13T14:44:50.701871,2157,2171,-87.95
2025-05-13T14:44:50.767166,2157,2171,-87.95
2025-05-13T14:44:50.825993,2157,2171,-87.95
2025-05-13T14:44:50.926879,2156,2171,-88.09
2025-05-13T14:44:50.971980,2156,2174,-88.41
2025-05-13T14:44:51.087449,2156,2174,-88.41
2025-05-13T14:44:51.094457,2156,2174,-88.41
2025-05-13T14:44:51.230685,2155,2174,-88.49
2025-05-13T14:44:51.240870,2155,2179,-88.81
2025-05-13T14:44:51.362151,2155,2179,-88.81
2025-05-13T14:44:51.410538,2155,2179,-88.81
2025-05-13T14:44:51.510926,2155,2181,-88.9
2025-05-13T14:44:51.551183,2154,2181,-88.94
2025-05-13T14:44:51.636061,2154,2181,-88.94
2025-05-13T14:44:51.714932,2154,2181,-88.94
2025-05-13T14:44:51.777644,2154,2185,-89.08
2025-05-13T14:44:51.873430,2152,2185,-89.13
2025-05-13T14:44:51.902439,2152,2185,-89.13
2025-05-13T14:44:52.033082,2152,2185,-89.13
2025-05-13T14:44:52.043165,2152,2186,-89.16
2025-05-13T14:44:52.170791,2151,2186,-89.16
2025-05-13T14:44:52.173913,2151,2186,-89.18
2025-05-13T14:44:52.315619,2151,2190,-89.27
2025-05-13T14:44:52.353167,2151,2190,-89.27
2025-05-13T14:44:52.438364,2151,2190,-89.27
2025-05-13T14:44:52.500227,2148,2190,-89.32
2025-05-13T14:44:52.584658,2148,2194,-89.38
2025-05-13T14:44:52.654136,2148,2194,-89.38
2025-05-13T14:44:52.710842,2148,2194,-89.38
2025-05-13T14:44:52.818047,2144,2194,-89.43
2025-05-13T14:44:52.851444,2144,2199,-89.48
2025-05-13T14:44:52.978102,2144,2199,-89.48
2025-05-13T14:44:52.979070,2144,2199,-89.48
2025-05-13T14:44:53.118315,2140,2205,-89.53
2025-05-13T14:44:53.119721,2140,2205,-89.56
2025-05-13T14:44:53.242000,2140,2205,-89.56
2025-05-13T14:44:53.281534,2140,2205,-89.56
2025-05-13T14:44:53.390584,2140,2210,-89.59
2025-05-13T14:44:53.439742,2136,2210,-89.61
2025-05-13T14:44:53.512303,2136,2210,-89.61
2025-05-13T14:44:53.605957,2136,2210,-89.61
2025-05-13T14:44:53.658575,2136,2215,-89.64
2025-05-13T14:44:53.761085,2131,2215,-89.66
2025-05-13T14:44:53.776367,2131,2215,-89.66
2025-05-13T14:44:53.916900,2131,2215,-89.66
2025-05-13T14:44:53.921834,2131,2217,-89.67
2025-05-13T14:44:54.046399,2131,2217,-89.67
2025-05-13T14:44:54.063721,2131,2217,-89.67
2025-05-13T14:44:54.193066,2131,2222,-89.69
2025-05-13T14:44:54.224235,2131,2222,-89.69
2025-05-13T14:44:54.312569,2131,2222,-89.69
2025-05-13T14:44:54.386081,2128,2222,-89.7
2025-05-13T14:44:54.458167,2128,2225,-89.7
2025-05-13T14:44:54.543239,2128,2225,-89.7
2025-05-13T14:44:54.582767,2128,2225,-89.7
2025-05-13T14:44:54.689698,2126,2225,-89.71
2025-05-13T14:44:54.727086,2126,2227,-89.72
2025-05-13T14:44:54.847683,2126,2227,-89.72
2025-05-13T14:44:54.849707,2126,2227,-89.72
2025-05-13T14:44:54.993102,2126,2229,-89.72
2025-05-13T14:44:55.006232,2124,2229,-89.73
2025-05-13T14:44:55.116337,2124,2229,-89.73
2025-05-13T14:44:55.171075,2124,2229,-89.73
2025-05-13T14:44:55.261950,2124,2230,-89.73
2025-05-13T14:44:55.329411,2121,2230,-89.74
2025-05-13T14:44:55.388466,2121,2230,-89.74
2025-05-13T14:44:55.493176,2121,2230,-89.74
2025-05-13T14:44:55.528755,2121,2230,-89.74
2025-05-13T14:44:55.635795,2118,2230,-89.74
2025-05-13T14:44:55.653892,2118,2230,-89.74
2025-05-13T14:44:55.792873,2118,2233,-89.75
2025-05-13T14:44:55.794620,2118,2233,-89.75
2025-05-13T14:44:55.919871,2118,2233,-89.75
2025-05-13T14:44:55.953458,2117,2233,-89.75
2025-05-13T14:44:56.062862,2117,2242,-89.77
2025-05-13T14:44:56.111827,2117,2242,-89.77
2025-05-13T14:44:56.185433,2117,2242,-89.77
2025-05-13T14:44:56.270994,2115,2242,-89.77
2025-05-13T14:44:56.333541,2115,2244,-89.78
2025-05-13T14:44:56.434319,2115,2244,-89.78
2025-05-13T14:44:56.450936,2115,2244,-89.78
2025-05-13T14:44:56.577489,2114,2244,-89.78
2025-05-13T14:44:56.599039,2114,2243,-89.78
2025-05-13T14:44:56.721394,2114,2243,-89.78
2025-05-13T14:44:56.736499,2114,2243,-89.78
2025-05-13T14:44:56.864491,2114,2242,-89.78
2025-05-13T14:44:56.897320,2114,2242,-89.78
2025-05-13T14:44:56.991627,2114,2242,-89.78
2025-05-13T14:44:57.061098,2114,2242,-89.78
2025-05-13T14:44:57.134261,2114,2239,-89.77
2025-05-13T14:44:57.204972,2113,2239,-89.77
2025-05-13T14:44:57.258633,2113,2239,-89.77
2025-05-13T14:44:57.376281,2113,2239,-89.77
2025-05-13T14:44:57.403601,2113,2233,-89.76
2025-05-13T14:44:57.521366,2112,2233,-89.76
2025-05-13T14:44:57.526673,2112,2233,-89.76
2025-05-13T14:44:57.674072,2112,2228,-89.75
2025-05-13T14:44:57.682551,2112,2228,-89.75
2025-05-13T14:44:57.793277,2112,2228,-89.75
2025-05-13T14:44:57.842439,2111,2228,-89.76
2025-05-13T14:44:57.938244,2111,2222,-89.74
2025-05-13T14:44:58.004078,2111,2222,-89.74
2025-05-13T14:44:58.063803,2111,2222,-89.74
2025-05-13T14:44:58.164311,2112,2222,-89.74
2025-05-13T14:44:58.208343,2112,2214,-89.72
2025-05-13T14:44:58.320122,2112,2214,-89.72
2025-05-13T14:44:58.330515,2112,2214,-89.72
2025-05-13T14:44:58.464901,2115,2214,-89.71
2025-05-13T14:44:58.474942,2115,2206,-89.69
2025-05-13T14:44:58.600289,2115,2206,-89.69
2025-05-13T14:44:58.625032,2115,2206,-89.69
2025-05-13T14:44:58.745136,2115,2199,-89.66
2025-05-13T14:44:58.785098,2119,2199,-89.64
2025-05-13T14:44:58.868860,2119,2199,-89.64
2025-05-13T14:44:58.946410,2119,2199,-89.64
2025-05-13T14:44:59.014205,2119,2192,-89.61
2025-05-13T14:44:59.107500,2121,2192,-89.6
2025-05-13T14:44:59.132916,2121,2192,-89.6
2025-05-13T14:44:59.268706,2121,2192,-89.6
2025-05-13T14:44:59.283027,2121,2185,-89.55
2025-05-13T14:44:59.402830,2121,2185,-89.55
2025-05-13T14:44:59.407587,2124,2185,-89.53
2025-05-13T14:44:59.548936,2124,2179,-89.48
2025-05-13T14:44:59.572944,2124,2179,-89.48
2025-05-13T14:44:59.672696,2124,2179,-89.48
2025-05-13T14:44:59.728799,2127,2179,-89.45
2025-05-13T14:44:59.815120,2127,2173,-89.38
